,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
3967,63RD REPRESENTATIVE,Under Votes,,492,48,10.0,MCHENRY 26,2018_General Election
3896,63RD REPRESENTATIVE,Under Votes,,749,43,6.0,MCHENRY 23,2018_General Election
4013,63RD REPRESENTATIVE,Under Votes,,569,33,6.0,MCHENRY 28,2018_General Election
4038,63RD REPRESENTATIVE,Under Votes,,654,33,5.0,MCHENRY 29,2018_General Election
3873,63RD REPRESENTATIVE,Under Votes,,427,22,5.0,MCHENRY 22,2018_General Election
3828,63RD REPRESENTATIVE,Over Votes,,739,0,0.0,MCHENRY 20,2018_General Election
3851,63RD REPRESENTATIVE,Over Votes,,1273,0,0.0,MCHENRY 21,2018_General Election
3874,63RD REPRESENTATIVE,Over Votes,,427,0,0.0,MCHENRY 22,2018_General Election
3897,63RD REPRESENTATIVE,Over Votes,,749,0,0.0,MCHENRY 23,2018_General Election
3920,63RD REPRESENTATIVE,Over Votes,,1208,0,0.0,MCHENRY 24,2018_General Election
3968,63RD REPRESENTATIVE,Over Votes,,492,0,0.0,MCHENRY 26,2018_General Election
4014,63RD REPRESENTATIVE,Over Votes,,569,0,0.0,MCHENRY 28,2018_General Election
4039,63RD REPRESENTATIVE,Over Votes,,654,0,0.0,MCHENRY 29,2018_General Election
8162,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,1249,422,34.0,MCHENRY 27,2018_General Election
6231,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,1263,247,20.0,MCHENRY 25,2018_General Election
6246,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,1249,238,19.0,MCHENRY 27,2018_General Election
8144,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,1263,233,18.0,MCHENRY 25,2018_General Election
8172,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,569,57,10.0,MCHENRY 28,2018_General Election
6254,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,569,54,9.0,MCHENRY 28,2018_General Election
3990,64TH REPRESENTATIVE,Under Votes,,1249,16,1.0,MCHENRY 27,2018_General Election
3944,64TH REPRESENTATIVE,Under Votes,,1263,13,1.0,MCHENRY 25,2018_General Election
8135,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,1208,2,0.0,MCHENRY 24,2018_General Election
